year,China,Japan,United States,European Union
1961,-27.27,12.04353641,2.3,
1962,-5.57999999,8.908972996,6.1,
1963,10.3,8.473642383,4.4,
1964,18.17999999,11.6767082,5.8,
1965,16.95,5.819707873,6.4,
1966,10.65,10.63856156,6.5,
1967,-5.770000004,11.08214232,2.5,
1968,-4.099999987,12.88246814,4.8,
1969,16.94,12.47789451,3.1,
1970,19.3,2.454958384,-0.283491263,
1971,7.059999999,4.698992042,3.293351639,3.634559107
1972,3.81,8.413547255,5.258907357,4.759648703
1973,7.760000001,8.032599975,5.645722556,6.009137547
1974,2.310000003,-1.225239828,-0.540551652,3.095643688
1975,8.719999998,3.091575916,-0.205456065,-0.662397919
1976,-1.570000002,3.974984091,5.388139287,4.892440478
1977,7.570000001,4.39033795,4.624153065,2.874141112
1978,11.32597799,5.271941503,5.535304958,3.049863848
1979,7.59132468,5.484041832,3.166145308,3.87220216
1980,7.834145016,2.817591208,-0.256749674,2.075142465
1981,5.112761091,4.260624493,2.537719307,0.511768236
1982,9.017113914,3.279742743,-1.802887409,0.812386833
1983,10.77020251,3.630198572,4.583913355,1.448998506
1984,15.19154002,4.410880154,7.23663315,2.49614867
1985,13.43067752,5.159807905,4.169656223,2.352822548
1986,8.949961764,3.294047613,3.462645971,2.586134078
1987,11.65742779,4.648861398,3.45925199,2.520144238
1988,11.22259498,6.661636522,4.177061291,4.162330972
1989,4.206334355,4.925785413,3.67264815,3.917985041
1990,3.920251368,4.840929057,1.885964957,3.382122203
1991,9.262786084,3.523357235,-0.108264791,1.859379868
1992,14.22452959,0.900586066,3.522440527,1.160409205
1993,13.8837293,-0.459219716,2.751781051,-0.573951296
1994,13.03680663,1.083383174,4.02879326,2.652073284
1995,10.95395434,2.630999616,2.684217272,2.662322958
1996,9.922556752,3.133870993,3.772565499,1.880632809
1997,9.236779892,0.981228732,4.447174945,2.65281281
1998,7.845951788,-1.270330495,4.481394432,3.010354763
1999,7.661651501,-0.333929958,4.794499045,2.948183325
2000,8.490093406,2.764647551,4.077159479,3.899840857
2001,8.335733478,0.386103426,0.954338729,2.175087686
2002,9.13363079,0.041962499,1.695942923,1.109577296
2003,10.03803048,1.535125499,2.796209101,0.90765199
2004,10.11362138,2.186115694,3.852552601,2.591564852
2005,11.39459181,1.803900872,3.48322032,1.924095066
2006,12.72095567,1.372350128,2.782810626,3.493433588
2007,14.23086093,1.483969412,2.010507552,3.154770533
2008,9.65067892,-1.224289001,0.122188443,0.641009993
2009,9.398725632,-5.693236359,-2.599888351,-4.348064753
2010,10.63587106,4.097917919,2.708856694,2.249315209
2011,9.550832179,0.023809524,1.54989495,1.857767445
2012,7.863736449,1.374750999,2.280687603,-0.706731741
2013,7.766150098,2.005100177,1.841875395,-0.031993335
2014,7.425763656,0.296205514,2.287775933,1.575668628
2015,7.041328879,1.560626697,2.706369582,2.310707917
2016,6.848762205,0.753826746,1.667472076,2.007685382
2017,6.947200793,1.675331752,2.255680481,2.816019696
2018,6.749773832,0.584068067,2.918856897,2.067147102
2019,5.950500754,-0.240350841,2.288869868,1.827815671
2020,2.239701857,-4.506904542,-3.404589652,-5.955793069
2021,8.109792581,1.620795525,5.671107191,5.380224483
